Code,Taxa,Abundance,Alk,Date,SiteID,SampleID,WaterbodyID
TA001A,Tabellaria flocculosa,225,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
UN9999,Unknown diatom,4,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
ZZZ835,Achnanthidium minutissimum type,5,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
ZZZ910,Achnanthes bioretii,1,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
ZZZ987,Navicula small species,2,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
AC9999,Achnanthes sp.,1,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
BR001A,Brachysira vitrea,10,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
BR006A,Brachysira brebissonii fo. brebissonii,7,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
BR010A,Brachysira neoexilis,78,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
BR9999,Brachysira sp.,3,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
CM023A,Cymbella pusilla,3,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
CM057A,Cymbella mesiana,1,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
CV001A,Cavinula cocconeiformis,5,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
EU009A,Eunotia exigua,3,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
EU9999,Eunotia sp.,56,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
EY017A,Cymbella gracilis,5,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
FU002A,Frustulia rhomboides,7,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
GO006A,Gomphonema acuminatum,1,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
NA037A,Navicula angusta,1,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
NA047A,Navicula protracta,1,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
NA124A,Navicula molestiformis,2,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
NA147A,Navicula laterostrata,2,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
NI008A,Nitzschia frustulum,4,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
NI9999,Nitzschia sp.,1,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
PE002A,Peronia fibula,6,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
PI9999,Pinnularia sp.,14,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
RC002A,Rhoicosphenia abbreviata,2,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
TA001A,Tabellaria flocculosa,225,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
UN9999,Unknown diatom,4,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
ZZZ835,Achnanthidium minutissimum type,5,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
ZZZ910,Achnanthes bioretii,1,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
ZZZ987,Navicula small species,2,25,26-Apr-2012,Loch Dee @ SW shore,23,4005
AC9999,Achnanthes sp.,1,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
BR001A,Brachysira vitrea,10,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
BR006A,Brachysira brebissonii fo. brebissonii,7,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
BR010A,Brachysira neoexilis,78,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
BR9999,Brachysira sp.,3,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
CM023A,Cymbella pusilla,3,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
CM057A,Cymbella mesiana,1,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
CV001A,Cavinula cocconeiformis,5,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
EU009A,Eunotia exigua,3,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
EU9999,Eunotia sp.,56,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
EY017A,Cymbella gracilis,5,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
FU002A,Frustulia rhomboides,5,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
GO006A,Gomphonema acuminatum,4,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
NA037A,Navicula angusta,34,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
NA047A,Navicula protracta,1,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
NA124A,Navicula molestiformis,2,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
NA147A,Navicula laterostrata,2,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
NI008A,Nitzschia frustulum,4,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
NI9999,Nitzschia sp.,1,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
PE002A,Peronia fibula,6,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
PI9999,Pinnularia sp.,14,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
RC002A,Rhoicosphenia abbreviata,2,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
TA001A,Tabellaria flocculosa,100,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
UN9999,Unknown diatom,4,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
ZZZ835,Achnanthidium minutissimum type,5,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
ZZZ910,Achnanthes bioretii,1,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
ZZZ987,Navicula small species,2,25,27-Apr-2012,Loch Dee @ SW shore,45,3456
